strat,ticker,oos_total,oos_sharpe,oos_maxdd,bh_total,bh_sharpe,bh_maxdd,beats_return,beats_sharpe
g011,ETH,-0.40341155275055407,-0.5650616156358839,-0.5198727329593722,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g011,SOL,-0.3689643842042267,-0.5294727887415988,-0.5310896548098029,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,False
g012,BTC,0.1473809706070126,0.34282883670872666,-0.3482712406941333,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g012,ETH,-0.2565610453042695,-0.05553441727120622,-0.48008837582304487,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
g012,SOL,0.009664961479145306,0.271452356230629,-0.5197908645673517,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g013,BTC,0.012222237964468752,0.16730682316960713,-0.37027920761901034,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g013,ETH,-0.49740799984325523,-0.5916935143698121,-0.6361744626202641,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,False,False
g013,SOL,0.001558495312328656,0.22615377402023998,-0.45650423900275316,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,True,True
g014,BTC,0.13174291706311747,0.32411641853254514,-0.39958325320994326,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g014,ETH,0.15057041353898715,0.35210716479041504,-0.48071517066107894,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,True
g014,SOL,-0.6631201569454804,-0.5953915611635743,-0.7902246231948578,-0.4279910962715654,0.1099679743414206,-0.7629214340198327,False,False
g015,BTC,0.15486891065545816,0.3516709148061593,-0.37882685642134795,0.23525211786727662,0.42716023877160075,-0.5119837063290327,False,False
g015,ETH,-0.3128678099261596,-0.09785510146928304,-0.5981789804203274,-0.4133365022238833,0.02361717271056297,-0.6755191528088037,True,False
